Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","16","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","1964","1964","1000 persons","3228.439","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1965","1965","1000 persons","55385.112","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","1965","1965","1000 persons","28704.369","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","1965","1965","1000 persons","26680.745","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","1965","1965","1000 persons","52366.363","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","1965","1965","1000 persons","3467.675","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1966","1966","1000 persons","57157.654","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","1966","1966","1000 persons","29609.836","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","1966","1966","1000 persons","27547.815","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","1966","1966","1000 persons","53943.354","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","1966","1966","1000 persons","3729.636","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1967","1967","1000 persons","59034.249","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","1967","1967","1000 persons","30570.718","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","1967","1967","1000 persons","28463.532","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","1967","1967","1000 persons","55606.492","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","1967","1967","1000 persons","4014.177","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1968","1968","1000 persons","60918.454","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","1968","1968","1000 persons","31535.595","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","1968","1968","1000 persons","29382.857","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","1968","1968","1000 persons","57263.143","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","1968","1968","1000 persons","4316.33","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1969","1969","1000 persons","62679.765","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","512","Total Population - Male","3010","Population - Est. & Proj.","1969","1969","1000 persons","32434.72","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","513","Total Population - Female","3010","Population - Est. & Proj.","1969","1969","1000 persons","30245.045","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","551","Rural population","3010","Population - Est. & Proj.","1969","1969","1000 persons","58790.758","X","International reliable sources",""
"OA","Annual population","16","Bangladesh","561","Urban population","3010","Population - Est. & Proj.","1969","1969","1000 persons","4626.636","X","International reliable sources","UNDESA, Population Division – World Urbanization Prospects, the 2018 Revision"
"OA","Annual population","16","Bangladesh","511","Total Population - Both sexes","3010","Population - Est. & Proj.","1970","1970","1000 persons","64232.482","X","International reliable sources",""
